Gene,Sample
ada-alkA,BD126
ada-alkA,BD127
ada-alkA,BD139
ada-alkA,BD158
ada-alkA,BD163
adaB,BD120
adaB,BD126
adaB,BD132
adaB,BD139
adaB,BD160
adaB,BD162
adaB,BD163
adaB,BD50
adaB,BD9
adaB,BG1
adc,BD162
adc,BD9
adc,BG1
add,BD117
add,BD158
add,BD48
add,BD54
add,E7
ade,BD120
ade,BD126
ade,BD127
ade,BD132
ade,BD139
ade,BD158
ade,BD160
ade,BD162
ade,BD163
ade,BD48
ade,BD50
ade,BD54
ade,BD61
ade,BD9
ade,BG1
ade,E7
adh3,BD117
adhB,BD61
adhP,BD117
adhP,BD127
adhP,BD139
adhP,BD158
adhP,BD162
adhP,BD61
adhP,BD9
adhP,BG1
adiA,BD127
adrA,BD158
aguA,BD117
aguA,BD139
aguA,BD158
aguB,BD158
ahr,BD127
ahr,BD48
ahr,BD54
ahr,E7
ala,BD158
ala,BD61
ald,BD117
ald,BD120
ald,BD126
ald,BD132
ald,BD139
ald,BD158
ald,BD160
ald,BD162
ald,BD163
ald,BD50
ald,BD61
ald,BD9
ald,BG1
aldB,BD117
aldB,BD127
aldB,BD139
aldB,BD158
aldB,BD48
aldB,BD54
aldB,BD61
aldB,E7
alkB1_2,BD48
alkB1_2,BD54
alkB1_2,E7
allC,BD117
allC,BD120
allC,BD126
allC,BD127
allC,BD139
allC,BD162
allC,BD163
allC,BD9
allC,BG1
andAb,BD127
andAb,BD48
andAb,BD54
andAb,E7
andAc,BD127
andAd,BD127
antA,BD48
antA,BD54
antA,E7
antB,BD48
antB,BD54
antB,E7
antC,BD48
antC,BD54
antC,E7
arcC,BD139
argA,BD117
argA,BD139
argJ,BD117
argJ,BD120
argJ,BD126
argJ,BD127
argJ,BD132
argJ,BD158
argJ,BD160
argJ,BD162
argJ,BD163
argJ,BD48
argJ,BD50
argJ,BD54
argJ,BD61
argJ,BD9
argJ,BG1
argJ,E7
asbF,BD139
asbF,BD162
asbF,BD9
asbF,BG1
ascD,BD127
ascD,BD158
ascD,BD61
asd,BD117
asd,BD120
asd,BD126
asd,BD127
asd,BD132
asd,BD139
asd,BD158
asd,BD160
asd,BD162
asd,BD163
asd,BD48
asd,BD50
asd,BD54
asd,BD61
asd,BD9
asd,BG1
asd,E7
asnB,BD117
asnB,BD120
asnB,BD126
asnB,BD127
asnB,BD132
asnB,BD139
asnB,BD160
asnB,BD162
asnB,BD163
asnB,BD50
asnB,BD9
asnB,BG1
aspA,BD120
aspA,BD126
aspA,BD132
aspA,BD139
aspA,BD158
aspA,BD160
aspA,BD162
aspA,BD163
aspA,BD48
aspA,BD50
aspA,BD54
aspA,BD9
aspA,BG1
aspA,E7
aspQ,BD48
aspQ,BD54
aspQ,E7
astB,BD158
astB,BD48
astB,BD54
astB,E7
atsA,BD127
atsA,BD48
atsA,BD54
atsA,E7
atzE,BD127
atzF,BD127
atzF,BD158
atzF,BD163
atzF,BD48
atzF,BD54
atzF,E7
azr,BD120
azr,BD126
azr,BD162
azr,BD163
azr,BD9
azr,BG1
bccA,BD117
bccA,BD48
bccA,BD54
bccA,E7
benD-xylL,BD48
benD-xylL,BD54
benD-xylL,E7
betB,BD120
betB,BD126
betB,BD127
betB,BD132
betB,BD158
betB,BD160
betB,BD162
betB,BD163
betB,BD48
betB,BD50
betB,BD54
betB,BD61
betB,BD9
betB,BG1
betB,E7
bfr,BD127
bfr,BD158
