sample,taxon,source_label,dcpip_available,annotated_in_biorempp,annotated_in_ko_subset,metal_authority,metal_group_from_image,raw_uc81_metal,raw_uc81_metal_groups,unique_ko_count,PL1_mean,PL2_mean,PP1_mean,PP2_mean,PL_mean,PP_mean,overall_mean,dcpip_missing_values,Aliphatic_compounds_covered,Aliphatic_compound_coverage_pct,Aliphatic_kos_covered,Aliphatic_ko_completeness_pct,Polyaromatic_compounds_covered,Polyaromatic_compound_coverage_pct,Polyaromatic_kos_covered,Polyaromatic_ko_completeness_pct,biorempp_reference_count,enzyme_activity_count,hadeg_ko_count,hadeg_pathway_count,hadeg_compound_pathway_count,kegg_ko_count,kegg_pathname_count,tox_unique_compounds,tox_high_toxicity_compounds,tox_high_toxicity_endpoint_hits
BD163,Bacillus megaterium,BD163 - Bacillus megaterium,True,True,True,True,Metal_Group_12,True,Group 25,2132,61.455,66.646667,50.49,76.373333,64.050833,63.431667,63.74125,1,43,72.881356,64,41.830065,27,61.363636,34,40.963855,9,79,42,40,5,38,15,144,143,529
BD165,Bacillus paralicheniformis,BD165 - Bacillus paralicheniformis,True,True,True,False,,False,,2098,56.893333,44.526667,74.143333,57.463333,50.71,65.803333,58.256667,0,31,52.542373,52,33.986928,28,63.636364,40,48.192771,9,74,56,40,5,32,14,133,132,484
BD166,Bacillus megaterium,BD166 - Bacillus megaterium,True,True,True,False,,False,,2081,42.966667,77.913333,73.583333,76.11,60.44,74.846667,67.643333,0,43,72.881356,64,41.830065,27,61.363636,34,40.963855,9,76,38,39,5,37,15,143,142,527
BD2,Staphylococcus,BD2 - Staphylococcus,True,True,True,False,,False,,1327,27.15,29.476667,11.99,,28.313333,11.99,22.872222,3,21,35.59322,35,22.875817,18,40.909091,22,26.506024,9,55,24,35,5,13,12,91,90,341
BD48,Bacillus safensis,BD48 - Bacillus safensis,True,True,True,True,Metal_Group_1,True,Group 1,1857,45.44,54.363333,49.73,17.013333,49.901667,33.371667,41.636667,0,34,57.627119,60,39.215686,28,63.636364,29,34.939759,9,73,95,55,5,69,17,127,126,449
BD5,Dermacoccus nishinomiyaensis,BD5 - Dermacoccus nishinomiyaensis,True,True,True,False,,False,,1352,58.793333,75.416667,44.526667,50.013333,67.105,47.27,57.1875,0,26,44.067797,38,24.836601,17,38.636364,18,21.686747,9,64,33,42,5,22,13,88,87,287
BD50,Bacillus safensis,BD50 - Bacillus safensis,True,True,True,True,Metal_Group_4,False,,1932,70.656667,81.996667,70.71,70.573333,76.326667,70.641667,73.484167,0,41,69.491525,48,31.372549,23,52.272727,33,39.759036,9,67,39,37,5,23,12,132,131,470
BD54,Acinetobacter,BD54 - Acinetobacter,True,True,True,True,Metal_Group_1,True,Group 1,1860,77.523333,86.926667,79.846667,59.536667,82.225,69.691667,75.958333,0,34,57.627119,60,39.215686,28,63.636364,29,34.939759,9,73,95,55,5,69,17,127,126,449
BD61,Ochrobactrum,BD61 - Ochrobactrum,True,True,True,True,Metal_Group_4,True,Group 2,1987,76.786667,86.403333,72.083333,47.186667,81.595,59.635,70.615,0,31,52.542373,59,38.562092,29,65.909091,34,40.963855,9,75,55,46,5,43,18,128,127,454
BD67,Ochrobactrum,BD67 - Ochrobactrum,True,True,True,False,,True,Group 10,1903,50.653333,62.346667,36.97,41.756667,56.5,39.363333,47.931667,2,33,55.932203,52,33.986928,28,63.636364,33,39.759036,9,73,36,35,5,23,15,121,120,432
BD69,Citrobacter,BD69 - Citrobacter,True,True,True,False,,True,Group 11,3073,69.57,76.846667,63.95,39.773333,73.208333,51.861667,62.535,1,30,50.847458,64,41.830065,33,75.0,44,53.012048,9,81,78,46,5,60,18,129,128,459
BD72,Bacillus tropicus,BD72 - Bacillus tropicus,True,True,True,False,,False,,1952,64.84,81.116667,54.756667,62.616667,72.978333,58.686667,65.8325,0,33,55.932203,58,37.908497,28,63.636364,38,45.783133,9,80,45,40,5,32,13,132,131,490
