target_class,model_version,compound_name,covered_by_selected,covering_selected_samples
Aliphatic,relaxed,Chloroform,True,BD127;BD145;BD163;BD67;E7
Aliphatic,relaxed,Cyclohexyl isocyanide,True,BD127;BD145;BD67
Aliphatic,relaxed,Digoxin,True,BD127;BD145;BD163;BD67;CB13
Aliphatic,relaxed,Epichlorohydrin,True,BD117;BD127;BD145;BD163;BD67;CB13;E7
Aliphatic,relaxed,Ethanol,True,BD117;BD127;BD145;BD163;BD67;CB13;E7
Aliphatic,relaxed,Ethyl acrylate,True,BD117;BD127;BD145;BD163;BD67;E7
Aliphatic,relaxed,Ethyl methanesulfonate,True,BD117;BD127;BD163;BD67;CB13;E7
Aliphatic,relaxed,Ethylene glycol,True,E7
Aliphatic,relaxed,Ethylene oxide,True,BD117
Aliphatic,relaxed,Formaldehyde,True,BD117;BD127;BD145;BD163;BD67;CB13;E7
Aliphatic,relaxed,Glu-P-1,True,BD163;CB13
Aliphatic,relaxed,Glycidaldehyde,True,BD117;BD127;BD145;BD163;BD67;CB13;E7
Aliphatic,relaxed,Methane,True,BD117;BD127;BD145;BD67;CB13;E7
Aliphatic,relaxed,Methyl bromide,True,BD117;BD127;BD145;BD163;BD67;CB13;E7
Aliphatic,relaxed,Methyl chloride,True,BD127;BD145;BD163;E7
Aliphatic,relaxed,Methyl isobutyl ketone,True,BD117;BD127;BD145;BD163;BD67;CB13;E7
Aliphatic,relaxed,Methyl tert-butyl ether,True,BD117;BD163;BD67;CB13;E7
Aliphatic,relaxed,Methylnitrosourea,True,BD117;BD127;BD145;BD163;CB13;E7
Aliphatic,relaxed,"N,N-Dimethylformamide",True,BD145
Aliphatic,relaxed,N-Nitrosomorpholine,True,BD67
Aliphatic,relaxed,Propylthiouracil,True,BD163
Aliphatic,relaxed,Streptozocin,True,BD117;BD127;BD145;BD163;BD67;CB13;E7
Aliphatic,relaxed,Thioacetamide,True,BD117;BD127;BD145;BD163;BD67;CB13;E7
Aliphatic,relaxed,Thiouracil,True,BD117;BD127;BD145;BD163;BD67;CB13;E7
Aliphatic,relaxed,Trichloroethene,True,BD127;BD145;BD163;BD67;CB13;E7
Aliphatic,relaxed,Vinyl acetate,True,BD117;BD127;BD145;BD163;BD67;E7
Aliphatic,relaxed,Vinyl fluoride,True,BD127;BD145;BD67;CB13
Aliphatic,relaxed,alpha-Chlorohydrin,True,BD117;BD127;BD145;BD163;BD67;CB13;E7
Aliphatic,relaxed,alpha-Hexachlorocyclohexane,True,BD127;BD145;BD163
Aliphatic,relaxed,"beta-1,2,3,4,5,6-Hexachlorocyclohexane",True,BD127;BD145;BD163
Aliphatic,relaxed,beta-Butyrolactone,True,BD127;BD145;BD67
Aliphatic,relaxed,"cis-1,3-Dichloropropene",True,BD127;BD145;BD163
Aliphatic,relaxed,"trans-1,3-Dichloropropene",True,BD127;BD145;BD163
Polyaromatic,strict_metal,"(+)-(3S,4R)-cis-3,4-Dihydroxy-3,4-dihydrofluorene",True,BD61
Polyaromatic,strict_metal,1-Hydroxy-2-naphthoate,True,BD61
Polyaromatic,strict_metal,"2,2',4,4',6,6'-Hexachlorobiphenyl",True,BD117;BD120;BD158;BD61
Polyaromatic,strict_metal,"2,2',4,4'-Tetrachlorobiphenyl",True,BD117;BD120;BD158;BD61
Polyaromatic,strict_metal,"2,2',5,5'-Tetrachlorobiphenyl",True,BD117;BD120;BD158;BD61
Polyaromatic,strict_metal,"2,3,3',4,5-Pentachlorobiphenyl",True,BD158
Polyaromatic,strict_metal,2-Naphthylamine,True,BD120;BD158;BD61
Polyaromatic,strict_metal,"3,3'-Dimethoxybenzidine",True,BD117;BD120;BD61
Polyaromatic,strict_metal,"3,3'-Dimethylbenzidine",True,BD120
Polyaromatic,strict_metal,"3,4,3',4'-Tetrachlorobiphenyl",True,BD117;BD120;BD158;BD61
Polyaromatic,strict_metal,"3,4,5,3',4',5'-Hexachlorobiphenyl",True,BD117;BD120;BD158;BD61
